dataset,d,n,seed,method,train_acc,train_f1,train_auc,test_acc,test_f1,test_auc,fit_time_s,timestamp
electricity,14,36250,2,arch_proposed,0.8294,0.8239,0.9106,0.8176,0.8115,0.8971,79.373,2026-06-24T05:59:31.290986
letter,16,16000,0,linear_svm,0.7046,0.6954,0.9447,0.7045,0.6949,0.9439,0.629,2026-06-24T05:59:32.915864
letter,16,16000,0,grad_boost,0.9962,0.9962,1.0,0.9643,0.9641,0.9996,5.192,2026-06-24T05:59:40.512777
letter,16,16000,0,shallow_rff,0.911,0.9111,0.995,0.895,0.8952,0.9938,1.716,2026-06-24T05:59:43.881100
letter,16,16000,0,mlp,0.9954,0.9953,1.0,0.9633,0.963,0.9997,23.797,2026-06-24T06:00:08.257544
letter,16,16000,0,rbf_exact,0.9922,0.9921,0.9997,0.972,0.9719,0.9986,1.4,2026-06-24T06:00:24.293846
letter,16,16000,0,arch_proposed,0.9989,0.9989,1.0,0.9675,0.9674,0.9987,154.154,2026-06-24T06:21:13.726776
letter,16,16000,1,linear_svm,0.703,0.6931,0.9444,0.7093,0.6995,0.9443,0.655,2026-06-24T06:21:15.715866
letter,16,16000,1,grad_boost,0.9968,0.9968,1.0,0.9645,0.9645,0.9995,5.788,2026-06-24T06:21:24.136322
letter,16,16000,1,shallow_rff,0.9125,0.9127,0.9954,0.8972,0.8981,0.9931,1.99,2026-06-24T06:21:27.980275
letter,16,16000,1,mlp,0.9971,0.9971,1.0,0.967,0.9669,0.9996,40.035,2026-06-24T06:22:08.632843
letter,16,16000,1,rbf_exact,0.9921,0.9921,0.9997,0.9718,0.9716,0.9983,1.372,2026-06-24T06:22:24.466849
letter,16,16000,1,arch_proposed,0.9993,0.9993,1.0,0.9607,0.9607,0.9984,220.097,2026-06-24T06:44:18.546261
letter,16,16000,2,linear_svm,0.7061,0.6968,0.9446,0.7083,0.6998,0.9442,0.634,2026-06-24T06:44:20.993001
letter,16,16000,2,grad_boost,0.9968,0.9967,1.0,0.961,0.9608,0.9996,5.113,2026-06-24T06:44:28.434507
letter,16,16000,2,shallow_rff,0.9119,0.9111,0.9954,0.8892,0.8874,0.9928,1.671,2026-06-24T06:44:31.746762
letter,16,16000,2,mlp,0.9918,0.9918,1.0,0.9585,0.9585,0.9994,17.214,2026-06-24T06:44:49.531207
letter,16,16000,2,rbf_exact,0.9924,0.9924,0.9997,0.967,0.9668,0.9981,1.371,2026-06-24T06:45:05.328451
letter,16,16000,2,arch_proposed,0.9989,0.9989,1.0,0.96,0.9597,0.9984,153.756,2026-06-24T07:05:49.915492
